cue, response, correction
presidente	capas	capaz
agarrar, coger, coger
pinza, coger, coger
tomar, coger, coger
montevideo, canelones, Canelones
progreso, canelones, Canelones
hay, ahi, ahí
haber, alla, haya
parque, rodo, Rodó
?, asia, hacia
?, super, super
?, super, súper
?, bart, Bart Simpson
?, bart simpson, Bart Simpson
?, bart simpsons, Bart Simpson
?, mujica, Mujica
?, bambi, Bambi
?, batman, Batman
?, dracula, Drácula
?, canelones, canelones
?, canelones, Canelones
?, bic, Bic

), simpson, Simpsons ?
?, simpsons, Simpsons ?
? , harry, Harry Potter
? , Harry, Harry Potter
?, mickey, Mickey ?
?, apple, Apple
?, union, Unión
?, unión, Unión

?, champion, champion
?, eva, EVA
?, cordón, Cordón
?, cordon, Cordón
?, habitab, Abitab
?, habitab, hábitat
pájaro?, piolin, Piolín
pájaro?, Piolin, Piolín
pájaro?, piolín, Piolín
?, rodó, Rodó
?, rodo, Rodó
?, Rodo, Rodó
?, xxx, Tres Cruces
?, XXX, Tres Cruces
?, caracter, carácter   
?, exito, excito
?, exitar, e
